wilaya_id,wilaya_code,date,nb_detections,frp_total,frp_max,fire_detected
1,01,2021-04-23,1,0.49,0.49,1
1,01,2021-05-19,1,1.36,1.36,1
1,01,2021-05-24,1,5.47,5.47,1
1,01,2021-06-04,1,0.54,0.54,1
1,01,2021-06-13,1,14.9,14.9,1
1,01,2021-06-22,5,68.97,16.46,1
1,01,2021-06-25,2,5.51,4.51,1
1,01,2021-06-28,1,0.6,0.6,1
1,01,2021-06-30,1,4.62,4.62,1
1,01,2021-07-06,8,106.47,50.93,1
1,01,2021-07-10,2,6.949999999999999,4.22,1
1,01,2021-07-13,3,13.850000000000001,6.41,1
1,01,2021-07-17,1,4.27,4.27,1
1,01,2021-07-25,1,3.31,3.31,1
1,01,2021-07-28,1,21.28,21.28,1
1,01,2021-08-01,1,0.52,0.52,1
1,01,2021-08-05,9,15.96,3.06,1
1,01,2021-08-07,9,184.74,22.91,1
1,01,2021-08-09,1,5.94,5.94,1
1,01,2021-08-14,1,29.72,29.72,1
1,01,2021-08-20,2,8.11,6.58,1
1,01,2021-08-23,4,6.02,2.42,1
1,01,2021-08-24,2,17.75,11.1,1
1,01,2021-08-28,2,23.07,13.36,1
1,01,2021-09-13,2,6.85,4.72,1
1,01,2021-10-03,1,18.66,18.66,1
1,01,2021-10-04,1,4.36,4.36,1
1,01,2021-10-11,1,1.13,1.13,1
1,01,2021-10-16,6,10.5,3.03,1
1,01,2021-10-17,5,6.39,1.78,1
1,01,2021-10-18,7,9.31,1.84,1
1,01,2021-10-31,3,11.290000000000001,6.12,1
1,01,2021-11-01,1,6.28,6.28,1
1,01,2021-11-13,3,12.120000000000001,5.69,1
1,01,2021-11-14,5,27.88,9.9,1
1,01,2021-11-15,1,1.86,1.86,1
1,01,2021-11-17,3,29.369999999999997,12.37,1
1,01,2021-11-18,3,10.629999999999999,5.79,1
1,01,2021-11-20,2,7.4,3.74,1
1,01,2021-11-22,3,7.029999999999999,2.88,1
1,01,2021-11-24,1,7.09,7.09,1
1,01,2021-11-25,1,2.09,2.09,1
1,01,2021-11-26,1,0.6,0.6,1
1,01,2021-11-28,5,19.79,5.5,1
1,01,2021-11-29,4,22.81,8.75,1
1,01,2021-11-30,4,9.56,4.44,1
1,01,2021-12-01,1,5.1,5.1,1
1,01,2021-12-05,2,12.0,9.99,1
1,01,2021-12-06,1,3.46,3.46,1
1,01,2021-12-07,1,0.66,0.66,1
1,01,2021-12-08,8,30.22,7.12,1
1,01,2021-12-09,3,20.14,7.08,1
1,01,2021-12-12,1,3.7,3.7,1
1,01,2021-12-13,2,17.18,12.77,1
1,01,2021-12-14,3,21.15,11.27,1
1,01,2021-12-20,7,79.99,19.37,1
1,01,2021-12-24,2,7.88,5.25,1
1,01,2021-12-25,3,11.79,4.81,1
1,01,2022-01-05,1,6.94,6.94,1
1,01,2022-01-18,9,70.53999999999999,11.33,1
1,01,2022-01-20,3,17.43,8.07,1
1,01,2022-01-21,1,17.21,17.21,1
1,01,2022-01-27,2,19.94,12.57,1
1,01,2022-01-31,1,0.47,0.47,1
1,01,2022-02-01,1,14.54,14.54,1
